SourceFile,Title,ImageDescription
1.png,ワインレッドのスーツ,スーツのボタンを留める男性の手
2.png,グレーのスーツコーディネート,マネキンに着せられたスーツとネクタイ
3.png,青いストライプスーツ,腕時計とブレスレットを付けた手元
4.png,会議室の男性,会議室で微笑むスーツの男性
5.png,指をさすジェスチャー,スーツ姿で人差し指を立てる男性
6.png,ビジネスマン2名,スーツ姿の男性2名のポートレート
7.png,キャリアウクウーマン,ビルを背景に立つスーツの女性
8.png,ビジネスの握手,スーツ姿での固い握手
9.png,ネイビーのスーツ,胸ポケットに花を挿した男性
10.png,モノクロポートレート,黒いブレザーを着た女性
11.png,スーツ姿の男性4人組,屋外の道路でポーズをとる、スーツを着た4人の男性
12.png,ツイードのチェック柄スーツ,茶色のチェック柄スリーピーススーツ（ツイード）と赤いネクタイを着用した男性
13.png,女性のモノクロポートレート,黒いブレザーを着て、顔に手を添える女性のモノクロ写真（クローズアップ）
14.png,スーツで椅子に座る女性（モノクロ）,黒いパンツスーツを着てスツールに座る女性のモノクロ写真（手と脚のクローズアップ）
15.png,黒いスーツで歩く男性,モダンなビルの前を歩く、黒いスーツと黒いネクタイの男性
16.png,赤いピンストライプスーツ,赤いピンストライプのスーツに、柄物のネクタイとストライプシャツを合わせた男性
17.png,ティールグリーンのスーツ,ティールグリーン（青緑色）のオーバーサイズスーツを着て歩く人物
18.png,スーツの男性2人（スタジオ）,暗い背景のスタジオでポーズをとる、スタイリッシュなスーツ姿の男性2人
19.png,スーツ袖とカフリンクス,青いスーツの袖口と、特徴的なカフリンクスを付けた白いシャツ（クローズアップ）
20.png,スーツとノートパソコン（モノクロ）,ダブルのスーツを着てノートパソコンを操作する男性のモノクロ写真
21.png,白いコーデュロイジャケット,白いコーデュロイのダブルジャケットを着た人物の胴体
22.png,ケープジャケットとハイウエストパンツ,茶色のケープジャケットを羽織り、白のハイウエストパンツを履いた女性
23.png,ジャケットを羽織る男性,白いシャツの上に、濃いワインレッドのジャケットを羽織る黒人男性
24.png,ピンストライプスーツと蝶ネクタイ,ネイビーのピンストライプスーツに、赤い蝶ネクタイを合わせた男性
25.png,黒いスーツの女性（モノクロ）,黒いブレザーとパンツスーツを着てスツールに座る女性のモノクロ写真
26.png,茶色のブレザーの襟元,茶色のブレザーの襟元のクローズアップ、インナーにニットを着用
27.png,スーツとブートニア（コサージュ）,青いスーツの襟につけられたブートニアとピンクの蝶ネクタイ
28.png,黒いスーツとブーケ,黒いスーツを着て、ピンクと白の花のブーケを持つ人物
29.png,ブラウンの革靴（ブローグ）,カーペットの上に足を組む、ブラウンの革靴とドット柄の靴下
30.png,クリーム色のスーツジャケット,クリーム色のスーツジャケットを着た人物の胴体（屋外）
31.png,タキシード姿の男性,黒のタキシードと蝶ネクタイを着用し、腕時計を付けた男性
32.png,タキシードと蝶ネクタイ,黒いタキシード（またはスーツ）と蝶ネクタイを締めた男性の胸元
33.png,スタイリッシュなスーツの男性2人,スツールに座るチェック柄パンツの男性と、グレーのスーツの男性
34.png,白いスーツの集団,白いスーツを着て整列する人々のグループ
35.png,高級ホテルの客室,ツインベッド、テレビ、デスクが備え付けられた豪華なホテルの部屋
36.png,ソファでスマートフォンを操作する男性,ピンクのジャケットを着てソファに寝そべり、スマートフォンを見る男性（俯瞰撮影）
37.png,ステージ上のタキシードの男性,暗いステージ上に立つ、タキシードとベストを着た男性
38.png,スーツ姿のシニア男性（アジア人）,腕を組んで微笑む、スーツと眼鏡をかけた白髪のアジア人男性
39.png,ウィスキーを飲むスーツの男性,暗い部屋でスーツを着て、ウィスキーのグラスを傾ける男性
4DOM.png,青いダブルのパンツスーツ,青いダブルジャケットのパンツスーツと、茶色のボウタイを付けた女性
41.png,スーツ姿の若い男性（屋外）,屋外の歩道橋で微笑む、スーツ姿の若いアジア人男性
42.png,スーツ姿の男性（腕組み）,近代的なビルを背景に腕_組む、ピンストライプスーツのアジア人男性
43.png,ガッツポーズするスーツの男性,ネイビーのスーツを着てガッツポーズをする男性の胴体
44.png,スーツのボタンを留める手,グレーのスーツジャケットのボタンを留める男性の手のクローズアップ
45.png,ジャケットを羽織る動作,白いシャツの男性が、ピンストライプのジャケットを勢いよく羽織る瞬間
46.png,黒いジャケットの男性,暗い場所で黒いジャケットとタートルネックを着た男性
47.png,レザージャケットとドレッドヘア,黒いレザージャケット、金のネックレス、腕時計を身に着けたドレッドヘアの人物
48.png,カフェでくつろぐ男性,茶色のジャケットと柄ネクタイを着用し、グラスを持ってカフェでくつろぐ男性
49.png,スーツの採寸（仕立て）,マネキンの黒いスーツの肩を、テーラーがメジャーで採寸している
50.png,スーツの内ポケットに手を入れる,チェック柄のジャケットとベストを着て、内ポケットに手を入れる男性
51.png,悩むスーツの男性,スタジオで頭を抱え、落ち込むスーツ姿の男性
52.png,パンツスーツの女性（スタジオ）,スタジオで腕を組んで立つ、ネイビーのパンツスーツを着たアジア人女性
53.png,横断歩道を渡るスーツの男性,バックパックを背負い、スーツ姿で横断歩道を渡る笑顔の男性
54.png,屋外で電話するスーツの男性,屋外の緑を背景に、笑顔でスマートフォンで通話するスーツの男性
55.png,面接を受けるスーツの男性,テーブルで手を組み、真剣な表情で座るスーツの男性
56.png,スマートフォンを見るスーツの男性,屋外でバックパックを背負い、笑顔でスマートフォンを操作するスーツの男性
57.png,高層ビルとスーツの男性,高層ビル群を背景に、スーツ姿で見上げるアジア人男性
58.png,屋外で電話するカジュアルなスーツの男性,眼鏡をかけ、バックパックを背負った男性が、屋外で笑顔で通話している
59.png,スーツで腕を組む男性（屋外）,屋外の緑を背景に、腕を組んで立つスーツ姿のアジア人男性
60.png,都市の景色を眺めるスーツの女性,スーツを着た女性が、都会のビル群を眺めている（後ろ姿）
61.png,レース編みをする手,指で繊細なレース編みをする老女の手のクローズアップ
62.png,型紙をカットするテーラー,メジャーを首にかけ、白い型紙をハサミでカットする女性テーラーの手元
63.png,ミシンを使うベテラン職人,薄暗い作業場でミシンを操作する、白髪でひげの老職人
64.png,裁縫道具のアンティークコレクション,古い糸巻き（緑）、メジャー、ボタン、指貫などの裁縫道具
65.png,ミシンで生地を縫う手,ミシンの針と押さえ金の下で生地を縫う手のクローズアップ
66.png,ミシンの針元（モノクロ）,黒い布の上に置かれたミシンの針と押さえ金（モノクロ）
67.png,ビジネスマンのポートレート,屋外でカメラを見つめる、スーツとストライプネクタイのアジア人ビジネスマン
68.png,スーツジャケットの棚,様々な色や素材のスーツジャケットが並んだアパレルショップの棚
69.png,ハンガーラックのシャツとジャケット,ハンガーにかけられた、様々な色やデザインのシャツとジャケットの列
70.png,色とりどりの布地（クローズアップ）,鮮やかな黄色、オレンジ、赤など、様々な色の布地が縦に並んだ様子
71.png,ネイビーブルーの光沢ある布地,ドレープのある、ネイビーブルーのサテンまたはシルク生地のクローズアップ
72.png,黒いスーツで歩く男性（屋外）,白シャツに黒いスーツジャケットを着て、屋外を歩く男性
74.png,オフィスでの握手,オフィスでスーツ姿の2人が握手を交わす（デスクの上には正義の女神像）
75.png,ツイードジャケットの男性（クラシック）,グレーのツイードジャケットと赤いネクタイを着用し、髭をたくわえた男性
76.png,ピンストライプのジャケットを羽織る男性,白いシャツとドット柄ネクタイの男性が、ピンストライプのジャケットを羽織る
77.png,グリーンベルベットのタキシード,緑色のベルベット生地で、黒い襟のタキシードジャケット
78.png,コーヒーブレイク中のビジネスマン2人,屋外でコーヒーを飲みながら談笑する、シャツとネクタイ姿の男性2人
79.png,空のオフィスで窓の外を見るスーツの男性,がらんとした広いオフィスで、窓の外を眺めるスーツ姿のアジア人男性
80.png,ブラウンのローファーとネクタイ,ブラウンのビットローファー（革靴）と、青い柄物のネクタイ
81.png,スーツ男性の横顔（スタジオ）,暗い背景のスタジオで、ネクタイを締めながらポーズをとるスーツ男性の横顔
82.png,階段に立つコートの男性,サングラスをかけ、黒いコートを着た男性が豪華な階段でグラスを持っている
83.png,スーツのボタンを留める手,グレーのスーツジャケットのボタンを留める男性の手のクローズアップ
84.png,レインコートを着た犬,霧の出た花畑で、黒いレインフードをかぶった犬の鼻のクローズアップ
85.png,オリーブ色のコート（クローズアップ）,オリーブドラブ（暗い茶色）のダブルコートを着た男性の胸元
86.png,ピーコートとマフラーの男性,黒いピーコート（Pコート）と青いマフラーを身に着けた男性
87.png,デニムジャケット（腕組み）,グレーのデニムジャケット（Gジャン）を着て腕を組む人物
88.png,黒いダウンジャケットの女性,壁に寄りかかる、黒いダウンジャケット（または中綿コート）を着た女性
89.png,黒いブレザーとジーンズの女性,黒いブレザーと、ダメージ加工のジーンズを履いた女性
90.png,オリーブ色のコートを留める手,オリーブ色のダブルコートのボタンを留める、タトゥーのある男性の手
91.png,ベージュのダブルコート2種,2人の男性が着る、2種類のベージュ系ダブルオーバーコートの比較
92.png,黒いコートの男性（駐車場）,暗い場所で黒いウールコートを着て立つ男性の胴体
93.png,茶色のコートと白いパンツの男性,人通りのある路上で、茶色のダブルコートのボタンを留める男性
94.png,黒いダブルブレザー（金ボタン）,黒いダブルブレザー、オレンジのネクタイとポケットチーフを合わせた男性
95.png,スーツ姿でサムズアップ,スーツとストライプネクタイの男性が、親指を立てる（サムズアップ）ジェスチャー
96.png,コンピューターを見る男性,黒いボンバージャケットを着て、デスクトップコンピューターの画面を見る男性
97.png,黒いレザージャケット（駐車場）,暗い駐車場で、黒いレザージャケットとシャツ、アクセサリーを身に着けた人物
98.png,ネイビーのスーツとブートニア,ネイビーのスリーピーススーツの胸ポケットに、白い小花（ブートニア）を挿した男性
99.png,黒いレザートレンチコート,青と赤の照明が当たった、黒いレザートレンチコートの襟元
100.png,レザージャケットとTシャツの男性,黒いライダースジャケットとロゴTシャツを着て、ハンガーラックに寄りかかる男性
101.png,ベージュのダブルブレザー（カジュアル）,ベージュのダブルブレザー、Tシャツ、ジーンズを合わせた座っている男性
102.png,紫のダブルスーツ,鮮やかな紫色のダブルスーツに、柄物のネクタイとポケットチーフを合わせた男性
103.png,スーツで腕を組む手元,ネイビーのスーツで腕を組む男性の手元（腕時計と指輪を着用）
104.png,グレーのスーツコーディネート,グレーのスーツにストライプシャツ、ドット柄のネクタイを締めたマネキン
105.png,ネイビーのベストと赤いネクタイ,ネイビーのダブルベスト、白いシャツ、赤いネクタイを着用した男性
106.png,チェック柄のベストと赤いネクタイ,チェック柄のベスト、白いシャツ、赤いネクタイを着用し、テーブルに座る男性
107.png,白いベストと黒いシャツ,黒いシャツとネクタイの上に、白いベストを着用した男性
108.png,ベストとシャツの男性,木の壁を背景に、ベストとシャツを着用した髭の男性
109.png,ワインを注ぐソムリエ,ベストと蝶ネクタイを着用したソムリエが、グラスに白ワインを注いでいる

